id,name,geonamesId,place,pointLat,pointLon,kemendagriCode,stateId,stateName,stateIso,countryId,countryIso
Q11139,Trenggalek,1623251,TOWN,-8.05,111.716666666,35.03,Q3586,Jawa Timur,ID-JI,Q252,ID
Q18975,Tual,1623197,CITY,-5.63845051,132.74497032,81.72,Q5093,Maluku,ID-MA,Q252,ID
Q11141,Tuban,,TOWN,-6.88333,112.05,35.23,Q3586,Jawa Timur,ID-JI,Q252,ID
Q8151,Tulang Bawang,,TOWN,,,18.05,Q2110,Lampung,ID-LA,Q252,ID
Q8154,Tulang Bawang Barat,,TOWN,,,18.12,Q2110,Lampung,ID-LA,Q252,ID
Q11143,Tulungagung,1623080,TOWN,-8.066666666,111.9,35.04,Q3586,Jawa Timur,ID-JI,Q252,ID
Q14633,Wajo,,TOWN,-4.12638889,120.0319444,73.13,Q5078,Sulawesi Selatan,ID-SN,Q252,ID
Q15375,Wakatobi,,TOWN,-5.53583,123.758,74.07,Q5075,Sulawesi Tenggara,ID-SG,Q252,ID
Q27815,Waropen,,TOWN,-1.866666666,137.1,91.15,Q5095,Papua,ID-PA,Q252,ID
Q8152,Way Kanan,,TOWN,,,18.08,Q2110,Lampung,ID-LA,Q252,ID
Q10981,Wonogiri,,TOWN,-7.916666666,111.05,33.12,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q11013,Wonosobo,1621395,TOWN,-7.183333333,109.716666666,33.07,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q27825,Yahukimo,,TOWN,,,91.13,Q5095,Papua,ID-PA,Q252,ID
Q27838,Yalimo,,TOWN,,,91.22,Q5095,Papua,ID-PA,Q252,ID
Q7568,Yogyakarta,1621177,CITY,-7.801388888,110.364444444,34.71,Q3741,Yogyakarta,ID-YO,Q252,ID
