id,name,geonamesId,geonamesName,lat,lon
Q14389,Seruyan,1627443,Kabupaten Seruyan,-2.33333,112.25
Q7777,Siak,9844901,Siak Regency,0.97453,102.01355
Q6055,Sijunjung,8541932,Kabupaten Sijunjung,-1.1827,101.6056
Q5903,Simalungun,1213765,Kabupaten Simalungun,2.9,99
Q14622,Sinjai,1626894,Kabupaten Sinjai,-5.21667,120.15
Q14167,Sintang,1626886,Kabupaten Sintang,-0.08333,112.08333
Q11480,Sleman,6258231,Kabupaten Sleman,-7.68167,110.32333
Q6058,Solok,1626646,Kabupaten Solok,-0.96667,100.81667
Q6083,Solok Selatan,9165770,Kabupaten Solok Selatan,-1.23333,101.417
Q26802,Sorong Selatan,7910924,Kabupaten Sorong Selatan,-1.50495,132.28638
Q10688,Sragen,6266177,Kabupaten Sragen,-7.41278,110.935
Q10381,Sukabumi,1626380,Kabupaten Sukabumi,-7.06667,106.7
Q14386,Sukamara,9166125,Kabupaten Sukamara,-2.62675,111.23681
Q10692,Sukoharjo,1626271,Kabupaten Sukoharjo,-7.68333,110.83333
Q14154,Sumba Barat,1626193,Kabupaten Sumba Barat,-9.56667,119.45
Q14152,Sumba Barat Daya,9845472,Southwest Sumba Regency,-9.56216,119.08905
Q14134,Sumba Tengah,9845473,Central Sumba Regency,-9.62941,119.61914
Q14139,Sumba Timur,1626190,Kabupaten Sumba Timur,-9.88333,120.25
Q10382,Sumedang,1626102,Kabupaten Sumedang,-6.81667,107.98333
Q14177,Tabalong,1625714,Kabupaten Tabalong,-1.88333,115.5
Q11505,Tabanan,1625707,Kabupaten Tabanan,-8.43333,115.06667
Q15844,Talaud,9828034,Talaud Islands Regency,4.31178,126.78085
Q26810,Tambrauw,9845477,Tambrauw Regency,-0.60515,132.48962
Q14487,Tana Tidung,8613361,Kabupaten Tana Tidung,3.55,117.25
Q14179,Tanah Bumbu,9780988,Kabupaten Tanah Bumbu,-3.45413,115.70372
Q6093,Tanah Datar,8594799,Kabupaten Tanah Datar,-0.4555,100.5771
Q14178,Tanah Laut,1625166,Kabupaten Tanah Laut,-3.88333,114.86667
Q10123,Tangerang,1625083,Kabupaten Tangerang,-6.2,106.46667
Q8149,Tanggamus,9845482,Tanggamus Regency,-5.38508,104.62349
Q7388,Tanjung Jabung Barat,9845496,West Tanjung Jabung Regency,-1.1544,103.24402
Q7384,Tanjung Jabung Timur,9845498,East Tanjung Jabung Regency,-1.13198,103.61755
Q5914,Tapanuli Selatan,1213519,Kabupaten Tapanuli Selatan,1.51667,99.25
Q5800,Tapanuli Tengah,1213518,Kabupaten Tapanuli Tengah,1.9,98.66667
Q5863,Tapanuli Utara,6726149,Kabupaten Tapanuli Utara,2.0028,99.0707
Q14180,Tapin,1624750,Kabupaten Tapin,-2.91667,115.03333
Q10385,Tasikmalaya,1624646,Kabupaten Tasikmalaya,-7.5,108.13333
Q7389,Tebo,9845500,Tebo Regency,-1.45576,102.37473
Q10705,Tegal,1624493,Kabupaten Tegal,-7.03333,109.16667
Q26819,Teluk Bintuni,9166002,Kabupaten Teluk Bintuni,-1.88037,133.33105
Q10979,Temanggung,1624237,Kabupaten Temanggung,-7.25,110.11667
Q14151,Timor Tengah Selatan,1623840,Kabupaten Timor Tengah Selatan,-9.83333,124.4
Q14146,Timor Tengah Utara,1623839,Kabupaten Timor Tengah Utara,-9.33136,124.51904
Q5911,Toba Samosir,9165769,Kabupaten Toba Samosir,2.39793,99.21678
Q15823,Tojo Una Una,9165688,Kabupaten Tojo Una-Una,-1.2036,121.48201
Q27802,Tolikara,9846653,Tolikara Regency,-3.42661,137.41699
Q15824,Tolitoli,9846654,Tolitoli Regency,1.30862,120.88643
Q14609,Toraja Utara,9846656,North Toraja Regency,-2.92738,119.79218
Q11141,Tuban,1623178,Kabupaten Tuban,-6.96667,111.9
Q8151,Tulang Bawang,9846658,West Tulang Bawang Regency,-4.43975,105.0444
Q8154,Tulang Bawang Barat,9846658,West Tulang Bawang Regency,-4.43975,105.0444
Q14633,Wajo,1622267,Kabupaten Wajo,-4,120.16667
Q15375,Wakatobi,9165996,Kabupaten Wakatobi,-5.31934,123.5948
Q27815,Waropen,1621238,Kabupaten Waropen,-2.286,137.01837
Q8152,Way Kanan,9163828,Kabupaten Way Kanan,-4.44705,104.52753
Q10981,Wonogiri,1621430,Kabupaten Wonogiri,-7.91667,111
Q27825,Yahukimo,11104752,Kabupaten Yahukimo,-4.46667,139.58333
Q27838,Yalimo,9846662,Yalimo Regency,-3.86037,138.47305
